periodo,periodo_dt,anio,mes,banco_estandarizado,activos_totales,pasivos_totales,patrimonio,morosidad,solvencia_proxy,roe,roe_real,roe_estimado,error_roe,error_abs_roe
2009-05,2009-05-01,2009,5,PACIFICO,1730.01,1448.92,264.03,3.89,13.31,15.25,15.25,13.513246952584456,1.7367530474155437,1.7367530474155437
2009-05,2009-05-01,2009,5,PICHINCHA,4450.86,3977.13,451.55,3.78,8.66,11.69,11.69,11.049946334776338,0.640053665223661,0.640053665223661
2009-05,2009-05-01,2009,5,PROCREDIT,301.86,263.93,36.12,3.38,10.64,12.07,12.07,10.533177118807114,1.5368228811928866,1.5368228811928866
2009-05,2009-05-01,2009,5,PRODUBANCO,1525.82,1370.4,148.77,1.24,8.78,10.5,10.5,10.433875293317783,0.06612470668221704,0.06612470668221704
2009-05,2009-05-01,2009,5,PROMERICA,465.92,431.6,33.19,2.49,6.56,8.16,8.16,8.26369335072335,-0.10369335072335062,0.10369335072335062
2009-05,2009-05-01,2009,5,SOLIDARIO,294.41,256.49,37.45,11.66,9.72,3.03,3.03,5.755714449161951,-2.7257144491619516,2.7257144491619516
2009-05,2009-05-01,2009,5,SUDAMERICANO,8.47,2.39,6.07,9.17,49.71,37.22,37.22,31.190468437395914,6.029531562604085,6.029531562604085
2009-05,2009-05-01,2009,5,TERRITORIAL,113.21,103.42,8.19,11.05,5.33,46.97,46.97,24.939067002164492,22.030932997835507,22.030932997835507
2009-05,2009-05-01,2009,5,UNIBANCO,248.5,198.35,48.46,10.37,16.24,8.4,8.4,12.221790292207796,-3.8217902922077958,3.8217902922077958
2009-06,2009-06-01,2009,6,AMAZONAS,119.15,107.33,11.38,3.69,8.01,7.72,7.72,7.567082825877831,0.15291717412216865,0.15291717412216865
2009-06,2009-06-01,2009,6,AUSTRO,627.56,564.33,56.37,7.52,7.72,24.26,24.26,24.014478644781157,0.24552135521884466,0.24552135521884466
2009-06,2009-06-01,2009,6,BOLIVARIANO,1243.31,1128.17,107.46,1.43,7.57,14.1,14.1,13.847663041125543,0.25233695887445684,0.25233695887445684
2009-06,2009-06-01,2009,6,CAPITAL,62.17,49.75,11.72,10.94,16.35,12.04,12.04,12.092499826377336,-0.0524998263773373,0.0524998263773373
2009-06,2009-06-01,2009,6,CITIBANK,322.26,291.23,28.96,5.73,7.81,14.3,14.3,19.838312948717945,-5.5383129487179446,5.5383129487179446
2009-06,2009-06-01,2009,6,COFIEC,12.01,3.46,8.42,3.66,51.6,3.2,3.2,7.508980832130833,-4.308980832130833,4.308980832130833
2009-06,2009-06-01,2009,6,COMERCIAL DE MANABI,27.6,20.87,6.58,5.28,18.32,4.45,4.45,4.194274052429053,0.255725947570947,0.255725947570947
2009-06,2009-06-01,2009,6,DELBANK,15.06,7.68,7.34,3.8,39.81,1.21,1.21,3.5800306860731865,-2.3700306860731866,2.3700306860731866
2009-06,2009-06-01,2009,6,FINCA,38.24,27.73,10.26,13.9,23.27,4.92,4.92,5.950669798442303,-1.030669798442303,1.030669798442303
2009-06,2009-06-01,2009,6,GENERAL RUMIÑAHUI,315.5,291.89,21.5,3.97,5.57,19.64,19.64,20.319277923280424,-0.6792779232804236,0.6792779232804236
2009-06,2009-06-01,2009,6,GUAYAQUIL,2212.16,2031.53,164.44,2.36,6.36,19.43,19.43,19.26867491822992,0.1613250817700802,0.1613250817700802
2009-06,2009-06-01,2009,6,INTERNACIONAL,1235.21,1112.35,116.13,2.72,8.14,11.59,11.59,11.486290313020318,0.1037096869796823,0.1037096869796823
2009-06,2009-06-01,2009,6,LITORAL,21.09,17.43,3.54,3.94,13.09,6.76,6.76,7.461396483886484,-0.7013964838864846,0.7013964838864846
2009-06,2009-06-01,2009,6,LLOYDS BANK,195.2,172.26,22.31,0.7,10.32,5.4,5.4,11.63221134319384,-6.232211343193839,6.232211343193839
2009-06,2009-06-01,2009,6,LOJA,195.6,175.01,18.91,3.19,8.07,17.73,17.73,21.213725514670543,-3.4837255146705424,3.4837255146705424
2009-06,2009-06-01,2009,6,MACHALA,330.59,297.36,32.02,2.99,8.09,7.49,7.49,11.298728538036032,-3.808728538036032,3.808728538036032
2009-06,2009-06-01,2009,6,PACIFICO,1716.15,1432.06,264.03,3.9,13.41,14.98,14.98,13.92741503700005,1.0525849629999513,1.0525849629999513
2009-06,2009-06-01,2009,6,PICHINCHA,4339.2,3861.2,451.67,3.73,8.95,11.57,11.57,10.654129489121996,0.9158705108780048,0.9158705108780048
2009-06,2009-06-01,2009,6,PROCREDIT,299.84,261.52,36.12,3.28,10.75,12.15,12.15,11.845850505050501,0.30414949494949894,0.30414949494949894
2009-06,2009-06-01,2009,6,PRODUBANCO,1534.42,1376.68,148.77,1.26,8.83,11.83,11.83,10.340143256280745,1.4898567437192547,1.4898567437192547
2009-06,2009-06-01,2009,6,PROMERICA,467.89,433.51,33.19,2.6,6.33,7.17,7.17,7.863940163077664,-0.6939401630776638,0.6939401630776638
