periodo,banco_estandarizado,indicador,valor,unidad,sentido,periodo_dt,ranking,promedio_sistema,mediana_sistema,bancos_con_dato,diferencia_vs_promedio,diferencia_pct_vs_promedio
2026-03,AUSTRO,pasivos_totales,3232.74,millones_usd,informativo,2026-03-01,7,3106.7452173913043,764.94,23,125.99478260869546,4.0555235074761535
2026-03,DINERS,pasivos_totales,2733.81,millones_usd,informativo,2026-03-01,8,3106.7452173913043,764.94,23,-372.9352173913044,-12.004048973943652
2026-03,GENERAL RUMIÑAHUI,pasivos_totales,1297.41,millones_usd,informativo,2026-03-01,9,3106.7452173913043,764.94,23,-1809.3352173913042,-58.23893144705895
2026-03,MACHALA,pasivos_totales,1183.06,millones_usd,informativo,2026-03-01,10,3106.7452173913043,764.94,23,-1923.6852173913044,-61.91963237354234
2026-03,LOJA,pasivos_totales,943.36,millones_usd,informativo,2026-03-01,11,3106.7452173913043,764.94,23,-2163.385217391304,-69.63510252726395
2026-03,CITIBANK,pasivos_totales,764.94,millones_usd,informativo,2026-03-01,12,3106.7452173913043,764.94,23,-2341.8052173913043,-75.37809036550765
2026-03,PROCREDIT,pasivos_totales,633.34,millones_usd,informativo,2026-03-01,13,3106.7452173913043,764.94,23,-2473.405217391304,-79.61403476362932
2026-03,SOLIDARIO,pasivos_totales,631.03,millones_usd,informativo,2026-03-01,14,3106.7452173913043,764.94,23,-2475.7152173913046,-79.68838910678785
2026-03,AMAZONAS,pasivos_totales,413.84,millones_usd,informativo,2026-03-01,15,3106.7452173913043,764.94,23,-2692.905217391304,-86.67930676505566
2026-03,DESARROLLO DE LOS PUEBLOS S.A,pasivos_totales,292.42,millones_usd,informativo,2026-03-01,16,3106.7452173913043,764.94,23,-2814.3252173913042,-90.58757704484239
2026-03,COOPNACIONAL,pasivos_totales,214.64,millones_usd,informativo,2026-03-01,17,3106.7452173913043,764.94,23,-2892.1052173913044,-93.09116181145262
2026-03,VISIONFUND ECUADOR,pasivos_totales,149.92,millones_usd,informativo,2026-03-01,18,3106.7452173913043,764.94,23,-2956.8252173913042,-95.17437094098479
2026-03,ATLANTIDA,pasivos_totales,137.73,millones_usd,informativo,2026-03-01,19,3106.7452173913043,764.94,23,-2969.0152173913043,-95.56674299427584
2026-03,COMERCIAL DE MANABI,pasivos_totales,130.71,millones_usd,informativo,2026-03-01,20,3106.7452173913043,764.94,23,-2976.0352173913043,-95.79270294621213
2026-03,CAPITAL,pasivos_totales,71.81,millones_usd,informativo,2026-03-01,21,3106.7452173913043,764.94,23,-3034.9352173913044,-97.68857775661765
2026-03,LITORAL,pasivos_totales,31.56,millones_usd,informativo,2026-03-01,22,3106.7452173913043,764.94,23,-3075.1852173913044,-98.984145857107
