periodo,banco_estandarizado,indicador,valor,unidad,sentido,periodo_dt,promedio_sistema,mediana_sistema,bancos_con_dato,diferencia_vs_promedio,diferencia_pct_vs_promedio
2009-01,TERRITORIAL,pasivos_totales,97.24,millones_usd,informativo,2009-01-01,574.6976,252.1,25,-477.45759999999996,-83.0797970967688
2009-01,TERRITORIAL,patrimonio,8.19,millones_usd,mayor_es_mejor,2009-01-01,67.8408,28.96,25,-59.650800000000004,-87.92761877808046
2009-01,TERRITORIAL,roe,59.36,porcentaje,mayor_es_mejor,2009-01-01,14.4696,11.64,25,44.8904,310.23939846298447
2009-01,TERRITORIAL,solvencia_proxy,6.15,porcentaje,mayor_es_mejor,2009-01-01,14.448,9.44,25,-8.298,-57.43355481727575
2009-01,UNIBANCO,activos_totales,252.78,millones_usd,mayor_es_tamano,2009-01-01,643.2348,288.57,25,-390.4548,-60.701753076792485
2009-01,UNIBANCO,morosidad,7.17,porcentaje,menor_es_mejor,2009-01-01,5.5636,3.63,25,1.6063999999999998,28.87339132935509
2009-01,UNIBANCO,pasivos_totales,204.26,millones_usd,informativo,2009-01-01,574.6976,252.1,25,-370.4376,-64.45782964814887
2009-01,UNIBANCO,patrimonio,48.14,millones_usd,mayor_es_mejor,2009-01-01,67.8408,28.96,25,-19.7008,-29.039751889718286
2009-01,UNIBANCO,roe,9.61,porcentaje,mayor_es_mejor,2009-01-01,14.4696,11.64,25,-4.8596,-33.58489522861724
2009-01,UNIBANCO,solvencia_proxy,17.13,porcentaje,mayor_es_mejor,2009-01-01,14.448,9.44,25,2.6819999999999986,18.56312292358803
2009-02,AMAZONAS,activos_totales,113.85,millones_usd,mayor_es_tamano,2009-02-01,651.2508333333334,270.625,24,-537.4008333333334,-82.51825653454058
2009-02,AMAZONAS,morosidad,5.91,porcentaje,menor_es_mejor,2009-02-01,6.478333333333333,4.355,24,-0.5683333333333325,-8.772832518651905
2009-02,AMAZONAS,pasivos_totales,102.32,millones_usd,informativo,2009-02-01,581.3854166666666,227.82,24,-479.06541666666664,-82.40065934459714
2009-02,AMAZONAS,patrimonio,11.38,millones_usd,mayor_es_mejor,2009-02-01,68.45166666666667,26.634999999999998,24,-57.071666666666665,-83.37513087093083
2009-02,AMAZONAS,roe,7.95,porcentaje,mayor_es_mejor,2009-02-01,17.125,12.115,24,-9.175,-53.57664233576642
2009-02,AMAZONAS,solvencia_proxy,8.35,porcentaje,mayor_es_mejor,2009-02-01,14.571250000000001,9.49,24,-6.221250000000001,-42.695376168825604
