periodo,indicador,promedio_sistema,mediana_sistema,bancos_con_dato
2019-10,activos_totales,1775.7870833333334,573.55,24
2019-10,morosidad,7.510416666666667,4.33,24
2019-10,pasivos_totales,1568.805833333333,502.30999999999995,24
2019-10,patrimonio,185.66875000000002,57.415,24
2019-10,roe,14.330416666666666,14.745000000000001,24
2019-10,solvencia_proxy,13.717916666666667,10.135000000000002,24
2019-11,activos_totales,1786.9937499999999,581.715,24
2019-11,morosidad,6.985833333333333,4.27,24
2019-11,pasivos_totales,1578.7216666666666,512.03,24
2019-11,patrimonio,184.93583333333333,57.415,24
2019-11,roe,17.620833333333334,14.629999999999999,24
2019-11,solvencia_proxy,13.542083333333332,10.18,24
2019-12,activos_totales,1857.6108333333334,579.075,24
2019-12,morosidad,6.077916666666667,3.51,24
2019-12,pasivos_totales,1647.32125,506.765,24
2019-12,patrimonio,210.2891666666667,60.605,24
2019-12,roe,15.7725,15.03,24
2019-12,solvencia_proxy,13.275833333333333,9.75,24
2020-01,activos_totales,1858.8133333333333,579.8299999999999,24
2020-01,morosidad,6.309166666666666,4.04,24
2020-01,pasivos_totales,1646.4495833333333,506.905,24
2020-01,patrimonio,210.22125000000003,60.61,24
2020-01,roe,16.241666666666667,11.615,24
2020-01,solvencia_proxy,14.121666666666668,11.1,24
2020-02,activos_totales,1888.2175,613.8199999999999,24
2020-02,morosidad,6.460416666666666,4.355,24
2020-02,pasivos_totales,1676.57875,541.24,24
2020-02,patrimonio,207.635,60.625,24
2020-02,roe,10.90625,10.09,24
2020-02,solvencia_proxy,13.759166666666665,10.735,24
2020-03,activos_totales,1833.9858333333334,576.6949999999999,24
2020-03,morosidad,5.843333333333334,3.7800000000000002,24
2020-03,pasivos_totales,1626.0245833333336,509.42,24
2020-03,patrimonio,203.8658333333333,60.629999999999995,24
2020-03,roe,6.763750000000001,7.385,24
2020-03,solvencia_proxy,13.765,10.74,24
2020-04,activos_totales,1821.6104166666667,575.7049999999999,24
2020-04,morosidad,5.551666666666667,3.85,24
2020-04,pasivos_totales,1613.4483333333335,508.495,24
2020-04,patrimonio,203.56875,60.635,24
2020-04,roe,11.489583333333334,6.87,24
2020-04,solvencia_proxy,13.765,10.625,24
2020-05,activos_totales,1828.4320833333331,572.565,24
2020-05,morosidad,5.48375,3.5949999999999998,24
2020-05,pasivos_totales,1619.28125,503.625,24
2020-05,patrimonio,203.92,60.65,24
2020-05,roe,13.767916666666666,6.795,24
2020-05,solvencia_proxy,13.589583333333332,10.7,24
2020-06,activos_totales,1843.8325000000002,562.135,24
2020-06,morosidad,9.414166666666667,3.675,24
2020-06,pasivos_totales,1633.6508333333331,492.30499999999995,24
2020-06,patrimonio,204.29875,60.629999999999995,24
2020-06,roe,11.184166666666668,6.109999999999999,24
